,ano_eleicao,nr_turno,nr_candidato,nm_urna_candidato,uf,votos,perc_votos
4635,2022,1,12,CIRO GOMES,PE,130015,2.38
4636,2022,1,14,ROBERTO JEFFERSON,PE,2991,0.05
4637,2022,1,14,PADRE KELMON,PE,2991,0.05
4638,2022,1,30,FELIPE D AVILA,PE,8633,0.16
4639,2022,1,22,JAIR BOLSONARO,PE,1630938,29.91
4640,2022,1,44,SORAYA THRONICKE,PE,20686,0.38
4641,2022,1,80,LÉO PÉRICLES,PE,1214,0.02
4642,2022,1,16,VERA,PE,765,0.01
4643,2022,1,15,SIMONE TEBET,PE,96570,1.77
4644,2022,1,21,SOFIA MANZANO,PI,427,0.02
4645,2022,1,27,CONSTITUINTE EYMAEL,PI,150,0.01
4646,2022,1,13,LULA,PI,1518008,74.25
4647,2022,1,12,CIRO GOMES,PI,59321,2.9
4648,2022,1,14,ROBERTO JEFFERSON,PI,1122,0.05
4649,2022,1,14,PADRE KELMON,PI,1122,0.05
4650,2022,1,30,FELIPE D AVILA,PI,2562,0.13
4651,2022,1,22,JAIR BOLSONARO,PI,406897,19.9
4652,2022,1,44,SORAYA THRONICKE,PI,13053,0.64
4653,2022,1,80,LÉO PÉRICLES,PI,350,0.02
4654,2022,1,16,VERA,PI,317,0.02
4655,2022,1,15,SIMONE TEBET,PI,42179,2.06
4656,2022,1,21,SOFIA MANZANO,PR,2744,0.04
4657,2022,1,27,CONSTITUINTE EYMAEL,PR,1104,0.02
4658,2022,1,13,LULA,PR,2363492,35.99
4659,2022,1,12,CIRO GOMES,PR,180599,2.75
4660,2022,1,14,ROBERTO JEFFERSON,PR,5161,0.08
4661,2022,1,14,PADRE KELMON,PR,5161,0.08
4662,2022,1,30,FELIPE D AVILA,PR,37983,0.58
4663,2022,1,22,JAIR BOLSONARO,PR,3628612,55.26
4664,2022,1,44,SORAYA THRONICKE,PR,34125,0.52
4665,2022,1,80,LÉO PÉRICLES,PR,2089,0.03
4666,2022,1,16,VERA,PR,1170,0.02
4667,2022,1,15,SIMONE TEBET,PR,309685,4.72
4668,2022,1,21,SOFIA MANZANO,RJ,4458,0.05
4669,2022,1,27,CONSTITUINTE EYMAEL,RJ,1546,0.02
4670,2022,1,13,LULA,RJ,3847143,40.68
4671,2022,1,12,CIRO GOMES,RJ,301489,3.19
4672,2022,1,14,ROBERTO JEFFERSON,RJ,7760,0.08
4673,2022,1,14,PADRE KELMON,RJ,7760,0.08
